TEFF,LOGG,O_FE,MG_FE,FE_H
6132.82,3.921887,0.21278287,0.028439492,-0.35478
3773.571,4.6882243,-0.0073039234,-0.019803494,-0.32766
5805.3633,4.4451017,0.0663049,-0.040173493,-0.024824
4919.3965,3.3874183,-0.022933006,0.086706005,0.082225
6277.503,4.1955037,0.1206669,-0.070797496,-0.0113
4395.548,2.0192294,0.045041002,0.035692997,0.0963
5678.045,4.061759,0.20336291,0.24802852,-0.38806
4045.281,1.2135756,0.334993,0.354223,-0.6411
6422.013,3.9959505,0.1114559,-0.10558849,-0.089123
4664.694,2.9999208,0.070196,0.08022502,0.304
4885.0493,2.491821,0.13093102,0.08128402,-0.23336
4531.577,1.9166677,0.177383,0.13545299,-0.51507
3194.4907,0.41880715,0.053489983,-0.042207003,0.22253
5925.2305,4.1849446,0.062413894,0.00021050125,0.1185
4781.8623,2.4559972,0.093811005,0.08505,-0.32245
5638.4463,4.2379518,0.08118889,0.029450506,0.18987
4696.2725,2.5696664,0.0537647,0.045532003,-0.034549
3608.9688,4.174261,-0.0680501,-0.0692815,-0.19697
6185.1445,4.261757,0.0746969,-0.0868915,0.15325
4718.22,2.050719,0.138093,0.07139039,-0.41777
4589.138,1.5343835,0.3282429,0.30055296,-1.7267
4811.7324,2.45708,0.054073602,0.072602004,-0.14497
3939.0479,1.2495601,0.14296,0.150357,-0.17468
5134.6177,2.38222,0.34707305,0.29585302,-0.80093
4440.429,2.3061824,0.089319,0.096297,0.038843
4962.602,2.6452103,-0.071358,-0.056458004,-0.10455
4219.5146,1.4790525,0.13041201,0.11303002,-0.47207
5484.0386,4.486744,0.12903291,0.08447651,-0.12123
4170.9434,1.1024265,0.22546297,0.17091298,-1.0423
4111.676,1.525048,0.0718628,0.043344,-0.12729
5661.699,3.579198,-0.0680671,0.020192504,-0.12847
4409.803,2.3341122,0.052561015,0.063463,0.22259
4168.5166,4.623899,-0.0468511,-0.18407148,-0.14567
4738.8086,3.0569077,0.043428987,0.07916199,0.17687
4681.1953,2.3240697,0.12933001,0.109728,-0.072933
3815.9326,0.84486187,0.335693,0.33157298,-0.78242
4873.8105,2.4987879,0.11206299,0.11619499,-0.27375
3495.1355,4.664944,,,
6237.5435,4.1714435,0.0753359,-0.048900507,-0.096052
4984.948,3.2106347,0.033196993,0.06937838,-0.13777
5572.247,3.9155529,0.050649904,0.054953508,0.069137
4241.8096,1.6737916,0.283953,0.303593,-0.49658
4172.4966,1.1982732,0.08840805,0.07995504,-0.55382
4960.553,3.0532532,0.108146995,0.091268,-0.19181
3871.2976,0.9775294,0.33117297,0.34530297,-0.72287
4054.499,1.2549593,0.12026699,0.10116199,-0.34746
4071.3906,0.71352,0.041538,0.034841,-0.50202
5177.2637,4.521534,-0.067823,0.079823606,0.0018632
4947.247,4.5808268,0.059757903,0.0714322,-0.16011
4979.0703,3.3250442,0.081339,0.028347,-0.060122
6016.052,4.32961,0.28546292,0.1632615,-0.32487
5857.2695,4.347148,-0.14452708,-0.06262149,-0.14857
5950.4824,4.218571,0.099770896,-0.008727498,-0.057168
4792.883,2.5570223,0.0060690045,0.040881008,0.12377
4876.651,2.5523305,0.0063719973,0.023521997,-0.1237
4740.2817,4.5679445,-0.03621109,0.00568451,0.17198
4144.375,4.6549745,-0.04012209,-0.0908615,-0.26955
4573.992,2.3712604,0.05101399,0.051949993,0.20504
5873.3677,4.212331,0.08774389,0.060633004,-0.23898
3580.5837,0.9677095,0.059220016,-0.01948899,0.27163
5900.501,4.2349095,0.08845989,-0.0481325,0.076566
4677.6406,2.476995,0.0064419955,0.024018005,0.18555
4272.4634,1.5040681,0.133964,0.134844,-0.44352
